Questionnaire_type,Interviewee_ID,LCAAJ_Location,Normalized_Location,Geonames_Variants,Country,Province,Latitude,Longitude,Interviewer_ID,LCAAJ_Region
Eastern,31357,Jerusalem,Jerusalem,"Adonai-jireh,Aelia Capitolina,Al Quds,Al-Kuds,Al-Qudis,Al-Qudıs,Ariel,Baitul Maqdis,Baitulmuqaddis,B…",Israel,Jerusalem,N 31° 46' 8'',E 35° 12' 58'',UW,
Eastern,32358,Safed,Safed,,,,,,UW,
Eastern?,43259,NOT IN ATLAS LIST BUT IN COLLECTION,NOT IN ATLAS LIST BUT IN COLLECTION,,,,,,,
Eastern,44264,Bucureşti,Bucureşti,,,,,,AI,Transcarpathia
Eastern,45229,Hunedoara,Hunedoara,,,,,,UW,Transcarpathia
Eastern,45273,Brăila,Brăila,,,,,,UW,Transcarpathia
Eastern,45284,Galaţi,Galaţi,,,,,,AI,Transcarpathia
Eastern,46182,Bonyhád,Bonyhád,,,,,,MS,Transcarpathia
Eastern,46186,Paks,Paks,,,,,,UW,Transcarpathia
Eastern,46232,Alba Iulia (Karlsburg),Alba Iulia,,,,,,MS,Transcarpathia
Eastern,46233,Teiuş,Teiuş,,,,,,UW,Transcarpathia
Eastern,46238,Cluj (Klausenburg),Cluj (Klausenburg),,,,,,UW,Transcarpathia
Eastern,46247,Magyar-Fráta,Magyar-Fráta,,,,,,UW,Transcarpathia
Eastern,46265,Moineşti,Moineşti,,,,,,EG,Transcarpathia
Eastern,46268,Piatra-Neamţ,Piatra-Neamţ,,,,,,UW,Transcarpathia
Eastern,46269,Roman,Roman,,,,,,UW,Transcarpathia
Eastern,46272,Iveşti,Iveşti,,,,,,MS,Transcarpathia
Eastern,46280,Leova,Leova,,,,,,UW,Southern Ukraine and Romania
Eastern,46284,Huşi,Huşi,,,,,,MS,Southern Ukraine and Romania
Eastern,46298,Tighina (Bender),Tighina (Bender),,,,,,MS,Southern Ukraine and Romania
Eastern,46302,Ackerman,Ackerman,,,,,,UW,Southern Ukraine and Romania
Eastern,46306,Odessa,Odessa,,,,,,MS,Southern Ukraine and Romania
